iter	F1	Logloss
0	0.006248497957	0.6870455867
1	0.01293413174	0.6812634951
2	0.007211538462	0.67577977
3	0.008167187125	0.6707034234
4	0.005292278085	0.6660730199
5	0.002409638554	0.6614707009
6	0.002409638554	0.6570672521
7	0.0009645526887	0.6532687392
8	0.001446480231	0.6495769849
9	0.0004823926676	0.6461976789
